time,N_sat,L1,L2,P1,P2,C1
0.267,G24,124616052.737,97103424.454,0,23713647.155,23713645.824
0.267,G28,111677040.339,87021074.360,0,21251426.877,21251428.667
0.267,G30,119151585.149,92845404.990,0,22673786.308,22673785.384
0.275,G13,106868308.682,83274019.703,0,20336355.425,20336356.917
0.275,G15,110831107.089,86361904.859,0,21090455.455,21090456.543
0.275,G17,123434097.251,96182410.229,0,23488723.709,23488724.248
0.275,G18,127084255.851,99026689.540,0,24183327.324,24183329.135
0.275,G20,121775311.205,94889827.382,0,23173070.743,23173071.826
0.275,G24,124516255.660,97025660.553,0,23694656.607,23694654.994
0.275,G28,111720595.760,87055013.656,0,21259715.375,21259716.976
0.275,G30,119240555.406,92914732.450,0,22690716.782,22690715.873
0.283,G13,106891816.734,83292337.663,0,20340828.827,20340830.392
0.283,G15,110798829.666,86336753.616,0,21084313.234,21084314.366
0.283,G17,123346688.985,96114299.911,0,23472090.329,23472090.906
0.283,G18,127043954.229,98995285.635,0,24175657.956,24175659.967
0.283,G20,121851305.592,94949043.788,0,23187531.895,23187533.131
0.283,G24,124416588.752,96947998.058,0,23675690.854,23675689.000
0.283,G28,111764568.309,87089277.982,0,21268083.035,21268084.537
0.283,G30,119329722.982,92984213.676,0,22707684.807,22707683.809
0.292,G11,129145523.445,100632873.023,0,24575577.131,24575576.797
0.292,G13,106915887.665,83311094.232,0,20345409.434,20345410.914
0.292,G15,110767096.468,86312026.453,0,21078274.601,21078275.709
0.292,G17,123259564.708,96046410.910,0,23455511.012,23455511.767
0.292,G18,127004112.962,98964240.471,0,24168076.318,24168078.379
0.292,G20,121927670.875,95008549.179,0,23202063.605,23202065.008
0.292,G24,124317050.693,96870435.940,0,23656748.966,23656747.466
0.292,G28,111808952.926,87123863.406,0,21276529.172,21276530.577
0.292,G30,119419083.621,93053845.315,0,22724689.717,22724688.567
0.300,G11,129105354.779,100601572.789,0,24567932.134,24567934.042
0.300,G13,106940525.354,83330292.442,0,20350097.772,20350099.293
0.300,G15,110735912.814,86287727.513,0,21072340.521,21072341.580
0.300,G17,123172731.233,95978748.500,0,23438987.267,23438987.811
0.300,G18,126964737.388,98933558.190,0,24160583.231,24160585.319
0.300,G20,122004408.506,95068344.740,0,23216666.658,23216668.098
0.300,G24,124217646.626,96792978.251,0,23637832.930,23637831.495
0.300,G28,111853752.527,87158772.176,0,21285054.189,21285055.640
0.300,G30,119508640.433,93123629.845,0,22741731.797,22741730.745
0.308,G11,129065709.057,100570680.056,0,24560387.432,24560389.397
0.308,G13,106965722.308,83349926.429,0,20354892.569,20354894.126
0.308,G15,110705273.209,86263852.482,0,21066509.971,21066511.069
0.308,G17,123086184.460,95911309.500,0,23422517.997,23422518.425
0.308,G18,126925821.915,98903234.473,0,24153178.053,24153179.844
0.308,G20,122081508.491,95128422.574,0,23231338.264,23231339.137
0.308,G24,124118371.007,96715620.637,0,23618941.579,23618939.991
0.308,G28,111898958.354,87193997.505,0,21293656.506,21293657.993
0.308,G30,119598385.229,93193560.825,0,22758809.786,22758808.416
0.317,G11,129026589.430,100540197.209,0,24552943.178,24552945.375
0.317,G13,106991479.154,83369996.697,0,20359793.835,20359795.484
0.317,G15,110675179.749,86240403.032,0,21060783.453,21060784.450
0.317,G17,122999927.829,95844096.582,0,23406104.054,23406104.250
0.317,G18,126887368.520,98873270.759,0,24145860.020,24145862.127
0.317,G20,122158968.923,95188781.373,0,23246078.277,23246079.623
0.317,G24,124019225.946,96638364.771,0,23600075.029,23600073.212
0.317,G28,111944569.850,87229538.933,0,21302336.116,21302337.578
0.317,G30,119688317.844,93263638.146,0,22775923.445,22775921.982
0.325,G11,128988001.472,100510128.710,0,24545599.854,24545602.694
0.325,G13,107017799.733,83390506.246,0,20364802.461,20364804.106
0.325,G15,110645637.333,86217382.978,0,21055161.797,21055162.679
0.325,G17,122913968.496,95777115.293,0,23389746.363,23389746.733
0.325,G18,126849382.618,98843671.373,0,24138632.250,24138633.585
0.325,G20,122236791.227,95249422.083,0,23260887.389,23260888.525
0.325,G24,123920216.645,96561214.695,0,23581234.284,23581232.333
0.325,G28,111990589.004,87265398.018,0,21311093.187,21311094.750
0.325,G30,119778441.059,93333864.016,0,22793073.197,22793071.865
0.333,G11,128949942.379,100480472.287,0,24538358.368,24538360.569
0.333,G13,107044678.710,83411450.906,0,20369917.337,20369919.000
0.333,G15,110616641.707,86194788.981,0,21049644.120,21049644.930
0.333,G17,122828304.112,95710363.869,0,23373444.946,23373445.289
0.333,G18,126811859.892,98814432.874,0,24131492.108,24131493.081
0.333,G20,122314966.999,95310338.244,0,23275763.814,23275764.421
0.333,G24,123821339.139,96484167.296,0,23562418.355,23562416.706
0.333,G28,112037009.434,87301569.782,0,21319926.777,21319928.324
0.333,G30,119868748.551,93404233.474,0,22810258.222,22810256.750
0.342,G11,128912421.228,100451234.948,0,24531217.823,24531220.139
0.342,G13,107072123.088,83432836.135,0,20375139.806,20375141.491
0.342,G15,110588202.843,86172628.829,0,21044232.269,21044233.134
0.342,G17,122742944.754,95643850.115,0,23357201.554,23357202.063
0.342,G18,126774808.980,98785562.010,0,24124441.289,24124442.592
0.342,G20,122393500.751,95371533.351,0,23290708.513,23290709.017
0.342,G24,123722602.093,96407229.393,0,23543629.157,23543627.617
0.342,G28,112083836.615,87338058.497,0,21328837.725,21328839.169
0.342,G30,119959246.654,93474751.460,0,22827479.220,22827477.973
0.350,G11,128875433.807,100422413.618,0,24524179.467,24524181.363
0.350,G13,107100126.792,83454657.208,0,20380468.712,20380470.401
0.350,G15,110560315.363,86150898.325,0,21038925.466,21038926.276
0.350,G17,122657886.904,95577571.290,0,23341015.741,23341016.276
0.350,G18,126738224.948,98757054.961,0,24117479.676,24117480.805
0.350,G20,122472383.702,95433000.536,0,23305719.175,23305719.622
0.350,G24,123624001.009,96330397.407,0,23524865.659,23524864.253
0.350,G28,112131062.743,87374858.075,0,21337824.504,21337825.972
0.350,G30,120049928.237,93545412.383,0,22844735.606,22844734.074
0.358,G11,128838985.848,100394012.628,0,24517243.876,24517245.547
0.358,G13,107128692.670,83476916.336,0,20385904.565,20385906.241
0.358,G15,110532983.775,86129600.982,0,21033724.445,21033725.206
0.358,G17,122573136.668,95511532.178,0,23324888.040,23324888.938
0.358,G18,126702112.447,98728915.389,0,24110607.713,24110608.949
0.358,G19,129957565.040,101265633.065,0,24730101.520,24730102.597
0.358,G20,122551616.504,95494740.348,0,23320796.698,23320797.242
0.358,G24,123525540.349,96253674.803,0,23506129.413,23506127.949
0.358,G28,112178689.739,87411970.021,0,21346887.635,21346889.159
